Real_1,Pred_1,Real_2,Pred_2,Real_3,Pred_3,Real_4,Pred_4,Real_5,Pred_5,Real_6,Pred_6,Real_7,Pred_7,Real_8,Pred_8,Real_9,Pred_9,Real_10,Pred_10,Real_11,Pred_11,Real_12,Pred_12
116847.62908057561,113688.56,117294.80043308112,112960.68,117771.31657343563,112681.13,118027.16228387582,112392.0,118278.90794993407,112115.914,118467.36885600089,112021.53,118785.81023179082,111772.66,119182.68891245346,111641.46,119359.72945155788,111524.375,118703.26838071554,111729.22,119002.50760809887,111573.0,119010.09713031474,111362.516
117294.80043308112,113770.34,117771.31657343563,113105.15,118027.16228387582,112775.61,118278.90794993407,112559.516,118467.36885600089,112202.055,118785.81023179082,112095.664,119182.68891245346,111882.29,119359.72945155788,111745.38,118703.26838071554,111617.37,119002.50760809887,111813.56,119010.09713031474,111686.305,118754.69781442013,111524.54
117771.31657343563,113745.39,118027.16228387582,113101.28,118278.90794993407,112740.266,118467.36885600089,112541.79,118785.81023179082,112149.11,119182.68891245346,112059.7,119359.72945155788,111847.52,118703.26838071554,111726.75,119002.50760809887,111595.586,119010.09713031474,111781.78,118754.69781442013,111697.516,119184.9420945347,111547.47
118027.16228387582,113821.766,118278.90794993407,113165.18,118467.36885600089,112765.73,118785.81023179082,112565.164,119182.68891245346,112145.12,119359.72945155788,112069.55,118703.26838071554,111852.64,119002.50760809887,111739.516,119010.09713031474,111602.62,118754.69781442013,111784.305,119184.9420945347,111741.734,119733.93468019101,111589.24
118278.90794993407,113947.86,118467.36885600089,113282.46,118785.81023179082,112834.016,119182.68891245346,112637.836,119359.72945155788,112190.43,118703.26838071554,112133.055,119002.50760809887,111927.17,119010.09713031474,111815.58,118754.69781442013,111680.67,119184.9420945347,111859.125,119733.93468019101,111860.0,119302.45718960169,111714.44
118467.36885600089,114048.93,118785.81023179082,113377.62,119182.68891245346,112892.96,119359.72945155788,112694.414,118703.26838071554,112230.36,119002.50760809887,112193.67,119010.09713031474,111996.63,118754.69781442013,111883.984,119184.9420945347,111753.22,119733.93468019101,111929.92,119302.45718960169,111967.11,119759.51655055693,111825.484
118785.81023179082,114129.18,119182.68891245346,113433.164,119359.72945155788,112933.86,118703.26838071554,112713.83,119002.50760809887,112251.8,119010.09713031474,112229.41,118754.69781442013,112021.72,119184.9420945347,111908.5,119733.93468019101,111773.96,119302.45718960169,111955.3,119759.51655055693,112007.8,119647.13610350236,111853.3
119182.68891245346,114236.164,119359.72945155788,113523.664,118703.26838071554,112999.62,119002.50760809887,112766.19,119010.09713031474,112299.42,118754.69781442013,112289.58,119184.9420945347,112078.21,119733.93468019101,111961.7,119302.45718960169,111824.69,119759.51655055693,112011.26,119647.13610350236,112079.41,119905.34412932584,111920.73
119359.72945155788,114365.06,118703.26838071554,113665.195,119002.50760809887,113087.83,119010.09713031474,112867.516,118754.69781442013,112379.945,119184.9420945347,112392.75,119733.93468019101,112207.05,119302.45718960169,112085.32,119759.51655055693,111961.14,119647.13610350236,112146.86,119905.34412932584,112253.98,119958.86217219132,112114.33
118703.26838071554,114457.46,119002.50760809887,113759.67,119010.09713031474,113147.17,118754.69781442013,112927.01,119184.9420945347,112436.13,119733.93468019101,112474.2,119302.45718960169,112306.06,119759.51655055693,112179.99,119647.13610350236,112068.55,119905.34412932584,112255.66,119958.86217219132,112399.1,119683.19953786394,112263.086
119002.50760809887,114496.7,119010.09713031474,113781.484,118754.69781442013,113182.73,119184.9420945347,112948.57,119733.93468019101,112475.47,119302.45718960169,112522.375,119759.51655055693,112349.375,119647.13610350236,112217.67,119905.34412932584,112101.12,119958.86217219132,112299.24,119683.19953786394,112444.1,119583.73597101556,112287.49
119010.09713031474,114535.625,118754.69781442013,113858.88,119184.9420945347,113234.69,119733.93468019101,113023.27,119302.45718960169,112535.71,119759.51655055693,112604.94,119647.13610350236,112461.0,119905.34412932584,112328.5,119958.86217219132,112217.49,119683.19953786394,112414.61,119583.73597101556,112590.64,119127.28034544508,112464.6
118754.69781442013,114530.29,119184.9420945347,113867.88,119733.93468019101,113240.91,119302.45718960169,113030.664,119759.51655055693,112553.61,119647.13610350236,112643.086,119905.34412932584,112511.3,119958.86217219132,112380.82,119683.19953786394,112276.766,119583.73597101556,112473.7,119127.28034544508,112671.43,118687.14241553268,112553.07
119184.9420945347,114498.06,119733.93468019101,113807.555,119302.45718960169,113221.88,119759.51655055693,112971.39,119647.13610350236,112534.77,119905.34412932584,112628.195,119958.86217219132,112463.84,119683.19953786394,112334.44,119583.73597101556,112218.91,119127.28034544508,112424.56,118687.14241553268,112606.414,118900.1656138629,112457.51
119733.93468019101,114557.94,119302.45718960169,113887.69,119759.51655055693,113278.75,119647.13610350236,113038.414,119905.34412932584,112590.125,119958.86217219132,112700.914,119683.19953786394,112552.0,119583.73597101556,112420.93,119127.28034544508,112307.74,118687.14241553268,112512.37,118900.1656138629,112711.37,118701.95317626116,112584.92
119302.45718960169,114616.24,119759.51655055693,113952.27,119647.13610350236,113310.78,119905.34412932584,113066.69,119958.86217219132,112619.75,119683.19953786394,112757.27,119583.73597101556,112622.53,119127.28034544508,112489.734,118687.14241553268,112393.74,118900.1656138629,112594.55,118701.95317626116,112821.8,118473.90255623346,112703.9
119759.51655055693,114649.39,119647.13610350236,113946.336,119905.34412932584,113335.53,119958.86217219132,113048.85,119683.19953786394,112637.01,119583.73597101556,112779.56,119127.28034544508,112615.7,118687.14241553268,112475.08,118900.1656138629,112375.44,118701.95317626116,112584.9,118473.90255623346,112797.35,118379.73883290826,112638.586
